name,district,website,has_alumni_platform,alumni_details,alumni_links
BSA Crescent Engineering College,Chennai,https://bsacrecent.edu.in,No,"Error accessing website: HTTPSConnectionPool(host='bsacrecent.edu.in', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x108af7260>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",N/A
Sri Sairam Institute of Technology,Chennai,https://sairamit.edu.in,Yes,"Found keywords: graduates, alumni, alumnus","[{""text"": ""Alumni"", ""url"": ""https://sairamit.edu.in/alumni/""}, {""text"": ""View Event"", ""url"": ""https://cce.sairamit.edu.in/department-of-ece-in-association-with-mhrd-institute-innovation-council-alumni-association-ipr-club-conducted-a-webinar-on-identifying-intellectual-property-component-at-the-early-stage-of-inno/""}, {""text"": ""Alumni"", ""url"": ""https://sairamit.edu.in/alumni/""}]"
Jaya Group of Colleges,Chennai,https://jayagroup.edu.in,No,"Error accessing website: HTTPSConnectionPool(host='jayagroup.edu.in', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x108af69c0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",N/A
Kumaraguru College of Liberal Arts and Science,Coimbatore,https://kclas.in,No,"Error accessing website: HTTPSConnectionPool(host='kclas.in', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x108af6480>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",N/A
Adithya Institute of Technology,Coimbatore,https://ait.edu.in,No,"Error accessing website: HTTPSConnectionPool(host='ait.edu.in', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x108af6870>, 'Connection to ait.edu.in timed out. (connect timeout=15)'))",N/A
Velammal College of Engineering and Technology,Madurai,https://velammal.edu.in,No,"Error accessing website: HTTPSConnectionPool(host='velammal.edu.in', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1000)')))",N/A
P.T.R College of Engineering and Technology,Madurai,https://ptrcollege.edu.in,No,"Error accessing website: HTTPSConnectionPool(host='ptrcollege.edu.in', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x108c80860>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",N/A
Fathima Michael College of Engineering and Technology,Madurai,https://fatimamichael.edu.in,No,"Error accessing website: HTTPSConnectionPool(host='fatimamichael.edu.in', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x108c80860>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",N/A
Ultra College of Engineering and Technology,Madurai,https://ultracollege.edu.in,No,"Error accessing website: HTTPSConnectionPool(host='ultracollege.edu.in', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x108c80410>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",N/A
Chettinad College of Engineering and Technology,Karur,https://ccetkarur.edu.in,No,"Error accessing website: HTTPSConnectionPool(host='ccetkarur.edu.in', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x108c80b60>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",N/A
Sembodai Rukumani College of Engineering,Nagapattinam,https://srcengg.edu.in,No,"Error accessing website: HTTPSConnectionPool(host='srcengg.edu.in', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x108c80b60>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",N/A
Sir Isaac Newton College of Engineering and Technology,Nagapattinam,https://sincet.edu.in,No,"Error accessing website: HTTPSConnectionPool(host='sincet.edu.in', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x108c80b60>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",N/A
Arifa Institute of Engineering and Technology,Nagapattinam,https://arifainstitute.edu.in,No,"Error accessing website: HTTPSConnectionPool(host='arifainstitute.edu.in', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x108c80170>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",N/A
Krishnaswamy College of Engineering and Technology,Cuddalore,https://kcet.edu.in,No,No alumni-related content found,N/A
St.Anne College of Engineering and Technology,Cuddalore,https://stannecollege.edu.in,No,"Error accessing website: HTTPSConnectionPool(host='stannecollege.edu.in', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x108c80320>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",N/A
Annai Teresa College of Education,Sivagangai,https://annaitheresa.edu.in,No,"Error accessing website: HTTPSConnectionPool(host='annaitheresa.edu.in', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x108c80320>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",N/A
College of Agricultural Technology,Thoothukudi,https://cat.edu.in,Yes,Found keywords: alumni,N/A
"Government Arts College, Karur",Karur,https://gackarur.edu.in,No,"Error accessing website: HTTPSConnectionPool(host='gackarur.edu.in', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x108f2afc0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",N/A
Indra Ganesan College of Engineering,Trichy,https://igce.edu.in,No,"Error accessing website: HTTPSConnectionPool(host='igce.edu.in', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x108f2b050>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",N/A
